clase(init+radio+pop),dataset,hyper_volume
cmdscalePca+0.4+10,diabetes,3.54603581222973
cmdscaleMean+0.4+10,glass,3.76100635084746
cmdscaleMean+0.4+10,iris,3.36547372633291
cmdscaleMean+0.4+10,diabetes,3.08300269864774
cmdscalePca+0.4+10,glass,2.81523941833723
cmdscalePca+0.4+10,iris,3.61292742487536
cmdscalePca+0.4+10,diabetes,3.53512135642278
cmdscaleMean+0.4+10,glass,3.76448051874752
cmdscaleMean+0.4+10,iris,3.7389819731287
cmdscaleMean+0.4+10,diabetes,3.40081439173123
cmdscalePca+0.4+10,glass,3.5777193022264
cmdscalePca+0.4+10,iris,3.36517525011023
cmdscalePca+0.4+10,diabetes,3.54270393885718
cmdscaleMean+0.4+10,glass,3.34614724027903
cmdscaleMean+0.4+10,iris,3.41612839975176
cmdscaleMean+0.4+10,diabetes,3.42956454007113
cmdscalePca+0.4+10,glass,2.71928107551051
cmdscalePca+0.4+10,iris,2.76663126762861
cmdscalePca+0.4+10,diabetes,3.52212922547593
cmdscaleMean+0.4+10,glass,3.11631975570789
cmdscaleMean+0.4+10,iris,3.14444488121876
cmdscaleMean+0.4+10,diabetes,3.7021739477731
cmdscalePca+0.4+10,glass,3.55616615708216
cmdscalePca+0.4+10,iris,3.53307361318466
cmdscalePca+0.4+10,diabetes,3.48322705746896
cmdscaleMean+0.4+10,glass,3.33182306029565
cmdscaleMean+0.4+10,iris,3.74589296616605
cmdscaleMean+0.4+10,diabetes,3.66875897453213
cmdscalePca+0.4+10,glass,3.44040476669404
cmdscalePca+0.4+10,iris,3.59193852458909
cmdscalePca+0.4+10,diabetes,3.51620175906449
cmdscaleMean+0.4+10,glass,3.74659422811683
cmdscaleMean+0.4+10,iris,3.69286044836256
cmdscaleMean+0.4+10,diabetes,3.68597749414497
cmdscalePca+0.4+10,glass,3.46172544288743
cmdscalePca+0.4+10,iris,2.88954304662444
cmdscalePca+0.4+10,diabetes,3.3726772752004
cmdscaleMean+0.5+10,glass,3.75113055085353
cmdscaleMean+0.5+10,iris,3.73776644108387
cmdscaleMean+0.5+10,diabetes,3.67946962755892
cmdscalePca+0.5+10,glass,3.05019808438128
cmdscalePca+0.5+10,iris,3.37497540804824
cmdscalePca+0.5+10,diabetes,2.80498468980188
cmdscaleMean+0.5+10,glass,3.74913737574408
cmdscaleMean+0.5+10,iris,3.74932808713606
cmdscaleMean+0.5+10,diabetes,3.70995881861781
cmdscalePca+0.5+10,glass,3.17678031258954
cmdscalePca+0.5+10,iris,3.59277983554928
cmdscalePca+0.5+10,diabetes,3.5715291544645
cmdscaleMean+0.5+10,glass,3.38630085246561
cmdscaleMean+0.5+10,iris,3.7285529198812
cmdscaleMean+0.5+10,diabetes,3.71319169022479
cmdscalePca+0.5+10,glass,3.51624026933968
cmdscalePca+0.5+10,iris,3.54979639335567
cmdscalePca+0.5+10,diabetes,3.53363619387155
cmdscaleMean+0.5+10,glass,3.29694219532657
cmdscaleMean+0.5+10,iris,3.7278087779491
cmdscaleMean+0.5+10,diabetes,3.69601092643787
cmdscalePca+0.5+10,glass,2.8112060197218
cmdscalePca+0.5+10,iris,3.6397099626744
cmdscalePca+0.5+10,diabetes,3.56633766063863
cmdscaleMean+0.5+10,glass,3.72899324264085
cmdscaleMean+0.5+10,iris,3.75883282889036
cmdscaleMean+0.5+10,diabetes,3.67813658979127
cmdscalePca+0.5+10,glass,3.4783979009735
cmdscalePca+0.5+10,iris,2.5862870200244
cmdscalePca+0.5+10,diabetes,3.53169249077166
cmdscaleMean+0.5+10,glass,3.76781180874302
cmdscaleMean+0.5+10,iris,3.38248709646243
cmdscaleMean+0.5+10,diabetes,3.31818367031979
cmdscalePca+0.5+10,glass,3.39917482100292
cmdscalePca+0.5+10,iris,3.59662968409094
cmdscalePca+0.5+10,diabetes,3.50566104609252
cmdscaleMean+0.5+10,glass,3.39396025149073
cmdscaleMean+0.5+10,iris,3.42476780581158
cmdscaleMean+0.5+10,diabetes,3.375492986228
cmdscalePca+0.5+10,glass,3.56800689671333
cmdscalePca+0.5+10,iris,3.30942159905664
cmdscalePca+0.5+10,diabetes,2.84360058123972
cmdscaleMean+0.5+10,glass,3.73451192100389
cmdscaleMean+0.5+10,iris,3.73090735001231
cmdscaleMean+0.5+10,diabetes,3.69243133767769
cmdscalePca+0.5+10,glass,3.54376899828516
cmdscalePca+0.5+10,iris,3.56889857613522
cmdscalePca+0.5+10,diabetes,3.24420569856563
cmdscaleMean+0.5+10,glass,3.36151029280998
cmdscaleMean+0.5+10,iris,3.41578144484591
cmdscaleMean+0.5+10,diabetes,3.71636454061574
cmdscalePca+0.5+10,glass,3.55291640255701
cmdscalePca+0.5+10,iris,3.55277217945231
cmdscalePca+0.5+10,diabetes,3.55485455105024
cmdscaleMean+0.5+10,glass,3.7522858333715
cmdscaleMean+0.5+10,iris,3.72990929140054
cmdscaleMean+0.5+10,diabetes,3.69964980373099
cmdscalePca+0.5+10,glass,3.57821960179187
cmdscalePca+0.5+10,iris,3.48921509640321
cmdscalePca+0.5+10,diabetes,3.53128790497245
cmdscaleMean+0.5+10,glass,3.74582114028314
cmdscaleMean+0.5+10,iris,3.7317031958884
cmdscaleMean+0.5+10,diabetes,3.41092020619028
cmdscalePca+0.5+10,glass,3.07083354417618
cmdscalePca+0.5+10,iris,3.438008897842
cmdscalePca+0.5+10,diabetes,3.5298425859369
cmdscaleMean+0.6+10,glass,3.40690012437811
cmdscaleMean+0.6+10,iris,3.74230050767052
cmdscaleMean+0.6+10,diabetes,3.6457472902731
cmdscalePca+0.6+10,glass,3.12414172205421
cmdscalePca+0.6+10,iris,3.46916409477686
cmdscalePca+0.6+10,diabetes,3.50958817619758
cmdscaleMean+0.6+10,glass,3.69091096256487
cmdscaleMean+0.6+10,iris,3.70666759145345
cmdscaleMean+0.6+10,diabetes,3.71157439687478
cmdscalePca+0.6+10,glass,3.62155240901112
cmdscalePca+0.6+10,iris,3.49871365714659
cmdscalePca+0.6+10,diabetes,3.5401443493812
cmdscaleMean+0.6+10,glass,3.7159615313461
cmdscaleMean+0.6+10,iris,3.69110585517984
cmdscaleMean+0.6+10,diabetes,3.68459978212086
cmdscalePca+0.6+10,glass,3.46960240882007
cmdscalePca+0.6+10,iris,3.55283195667727
cmdscalePca+0.6+10,diabetes,3.51916708326872
cmdscaleMean+0.6+10,glass,3.73560629474731
cmdscaleMean+0.6+10,iris,3.30367084867808
cmdscaleMean+0.6+10,diabetes,3.66950377882633
cmdscalePca+0.6+10,glass,3.61247091199186
cmdscalePca+0.6+10,iris,3.60822660340664
cmdscalePca+0.6+10,diabetes,2.85752628617198
cmdscaleMean+0.6+10,glass,3.72513404779106
cmdscaleMean+0.6+10,iris,3.72823507896261
cmdscaleMean+0.6+10,diabetes,3.66373069534064
cmdscalePca+0.6+10,glass,3.60749986158662
cmdscalePca+0.6+10,iris,3.5601730569973
cmdscalePca+0.6+10,diabetes,3.52075553240245
cmdscaleMean+0.6+10,glass,3.73856186832576
cmdscaleMean+0.6+10,iris,3.43825435546824
cmdscaleMean+0.6+10,diabetes,3.72227820858977
cmdscalePca+0.6+10,glass,2.91179009445061
cmdscalePca+0.6+10,iris,3.61440418116613
cmdscalePca+0.6+10,diabetes,3.55202106351668
cmdscaleMean+0.6+10,glass,3.43757690872746
cmdscaleMean+0.6+10,iris,3.43402512992052
cmdscaleMean+0.6+10,diabetes,3.69866537323949
cmdscalePca+0.6+10,glass,3.54442625589669
cmdscalePca+0.6+10,iris,3.51196536048935
cmdscalePca+0.6+10,diabetes,3.52905877319036
cmdscaleMean+0.6+10,glass,3.54858244688906
cmdscaleMean+0.6+10,iris,3.34298364036391
cmdscaleMean+0.6+10,diabetes,3.43795771180994
cmdscalePca+0.6+10,glass,3.60831450030078
cmdscalePca+0.6+10,iris,3.38941381514797
cmdscalePca+0.6+10,diabetes,3.53269612494885
cmdscaleMean+0.6+10,glass,3.75240730017988
cmdscaleMean+0.6+10,iris,3.72328984080612
cmdscaleMean+0.6+10,diabetes,3.39426903329256
cmdscalePca+0.6+10,glass,3.54470396135421
cmdscalePca+0.6+10,iris,3.59439557267617
cmdscalePca+0.6+10,diabetes,3.52609933526206
cmdscaleMean+0.6+10,glass,3.32847735730846
cmdscaleMean+0.6+10,iris,3.75312085167407
cmdscaleMean+0.6+10,diabetes,3.65426594197217
cmdscalePca+0.6+10,glass,3.5838702058451
